dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,dimension,separation,density_ratio,minority_fraction,modes,redundant_fraction,label_noise,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_1,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.45494444444444443,0.4671391855035738,0.0033333333333333335,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_1,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.5149055555555555,0.5054128898028307,0.02666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_1,matched_kmeans,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.45494444444444443,0.4671391855035738,0.0033333333333333335,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_1,matched_kmeans,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.5149055555555555,0.5054128898028307,0.02666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_2,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.47770000000000007,0.48083714350340484,0.006666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_2,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.5165,0.5058105202881702,0.02666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_2,matched_kmeans,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.47770000000000007,0.48083714350340484,0.006666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_2,matched_kmeans,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.5165,0.5058105202881702,0.02666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_3,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.47770000000000007,0.48083714350340484,0.006666666666666667,nan
syn2_d20_redundant0_noise0,controlled_gaussian_mixture_round2,42,0.7,release_3,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.165332531591462,4.165332531591462,0.7,0.7,0.7,0.7,20,2.0,5.0,0.3,3,0.0,0.0,0.5165555555555557,0.5059205937468167,0.02666666666666667,nan
